i,EXP_start,ID,Gender,Age,Stimulus,Animacy_Rating,Fixation_Start,SOA_Start,Face_Start,Rating_Start,Loop_End,Keypress_time,RT,rating_dur_var,fixation_dur_var,stimuli_dur_var,soa,real_unreal,break_taken_justb4
1,6.501603900000191,testingbreak,F,2,chosen_images\017.png,,1.3603922999991482,1.8630871000004845,1.8630952000003163,9.219612299999426,4.727149599999393,,,288,72,100,80,unreal,False
2,6.501603900000191,testingbreak,F,2,chosen_images\036.png,,4.728988400000162,5.234602599999562,5.234609099999943,12.556577299999844,8.062455499999487,,,288,72,100,71,unreal,False
3,6.501603900000191,testingbreak,F,2,chosen_images\144.png,,8.064186899999186,8.562963700000182,8.562969900000098,15.891946600000665,11.40013700000054,,,288,72,100,55,unreal,False
4,6.501603900000191,testingbreak,F,2,chosen_images\Sims7.png,,11.4016601000003,11.908347999999023,11.908355100000335,19.20242529999996,14.72376499999882,,,288,72,100,71,unreal,False
5,6.501603900000191,testingbreak,F,2,chosen_images\022.png,,14.725294899999426,15.224297200000365,15.224303999999393,22.54621749999933,18.074534800000038,,,288,72,100,83,unreal,False
6,6.501603900000191,testingbreak,F,2,chosen_images\Miranda_Lawson.png,,18.075989400000253,18.57507110000006,18.575076199998875,25.876080800000636,21.39749899999879,,,288,72,100,44,real,False
7,6.501603900000191,testingbreak,F,2,chosen_images\Tintin.png,,21.399198400000387,21.918849699999555,21.918855399999302,29.25464699999975,24.776048800000353,,,288,72,100,55,real,False
8,6.501603900000191,testingbreak,F,2,chosen_images\NF17kpb.png,,24.777526199999556,25.276535900000454,25.276542300000074,32.58450839999932,28.105923099999927,,,288,72,100,81,unreal,False
9,6.501603900000191,testingbreak,F,2,chosen_images\Miranda_Lawson.png,,28.107390199998918,28.606440100000327,28.606445899999017,35.90055869999924,31.421968200000265,,,288,72,100,58,real,False
10,6.501603900000191,testingbreak,F,2,chosen_images\141.png,,31.423554999999396,31.929445399999167,31.929451799998787,39.258237300000474,34.76571689999946,,,288,72,100,65,unreal,False
11,6.501603900000191,testingbreak,F,2,chosen_images\144.png,,34.76714139999967,35.27325960000053,35.273265199999514,42.60897660000046,38.144307999999,,,288,72,100,43,unreal,False
12,6.501603900000191,testingbreak,F,2,chosen_images\004.png,,38.14598879999903,38.651736300000266,38.65174169999955,45.98053590000018,41.50194469999951,,,288,72,100,49,unreal,False
13,6.501603900000191,testingbreak,F,2,chosen_images\Doctor Aki Ross.png,,41.5034383000002,42.00945309999952,42.00945949999914,49.324348300000565,44.845796800000244,,,288,72,100,70,real,False
14,6.501603900000191,testingbreak,F,2,chosen_images\009.png,,44.8472886999989,45.34629959999984,45.34630780000043,52.675072,48.1895585000002,,,288,72,100,59,unreal,False
15,6.501603900000191,testingbreak,F,2,chosen_images\006.png,,48.191002699999444,48.70400940000036,48.70401540000057,56.04674859999977,51.56117540000014,,,288,72,100,63,unreal,False
16,6.501603900000191,testingbreak,F,2,chosen_images\Joel.png,,51.56258129999878,52.07572230000005,52.07573029999912,59.41843279999921,54.932782300000326,,,288,72,100,74,real,False
17,6.501603900000191,testingbreak,F,2,chosen_images\113.png,,54.93419790000007,55.43330520000018,55.433311499999036,62.7342650999999,58.248815699998886,,,288,72,100,58,unreal,False
18,6.501603900000191,testingbreak,F,2,chosen_images\037.png,,58.25052270000015,58.7564026,58.756409699999494,66.08533569999963,61.599563699999635,,,288,72,100,57,unreal,False
19,6.501603900000191,testingbreak,F,2,chosen_images\117.png,,61.601346899999044,62.12087529999917,62.12088129999938,69.44273509999948,64.95724189999964,,,288,72,100,64,unreal,False
20,6.501603900000191,testingbreak,F,2,chosen_images\042.png,,77.41472079999949,77.9222854999989,77.92229140000018,85.23017980000077,80.73079159999907,,,288,72,100,56,unreal,True
